condition,size,time
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,8.82149e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,7.86781e-06
noad,300,8.82149e-06
noad,300,8.82149e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,8.82149e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,7.86781e-06
noad,300,8.82149e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,8.82149e-06
noad,300,7.86781e-06
noad,300,8.10623e-06
noad,300,9.05991e-06
noad,300,8.10623e-06
noad,300,8.10623e-06
noad,300,7.86781e-06
noad,300,7.86781e-06
