condition,size,time
adPrimal,200,0.001693675
adPrimal,200,0.003694111
adPrimal,200,0.001717281
adPrimal,200,0.001668835
adPrimal,200,0.001702242
adPrimal,300,0.002557149
adPrimal,300,0.002567445
adPrimal,300,0.002481543
adPrimal,300,0.002434959
adPrimal,300,0.00274965
adPrimal,300,0.0026564
adPrimal,300,0.002674594
adPrimal,300,0.002463496
adPrimal,300,0.00235795
adPrimal,300,0.002455258
adPrimal,300,0.002613475
adPrimal,300,0.002406529
adPrimal,300,0.002508205
adPrimal,300,0.002406166
adPrimal,300,0.002577879
adPrimal,300,0.002503776
adPrimal,300,0.002670522
adPrimal,300,0.002771558
adPrimal,300,0.002667717
adPrimal,300,0.002762896
adPrimal,400,0.003377234
adPrimal,400,0.003262366
adPrimal,400,0.003418228
adPrimal,400,0.003133767
adPrimal,400,0.003235793
adPrimal,400,0.00495636
adPrimal,400,0.003092342
adPrimal,400,0.00308644
adPrimal,400,0.003201343
adPrimal,400,0.003073531
adPrimal,400,0.003459705
adPrimal,400,0.003566305
adPrimal,400,0.003433661
adPrimal,400,0.003334589
adPrimal,400,0.003311083
adPrimal,400,0.003399748
adPrimal,400,0.003188359
adPrimal,400,0.003100697
adPrimal,400,0.003388484
adPrimal,400,0.003178046
adPrimal,500,0.004012304
adPrimal,500,0.004137905
adPrimal,500,0.004170624
adPrimal,500,0.004076129
adPrimal,500,0.004106785
adPrimal,500,0.003850658
adPrimal,500,0.005620415
adPrimal,500,0.003891287
adPrimal,500,0.004490689
adPrimal,500,0.004256732
adPrimal,500,0.004112188
adPrimal,500,0.004189078
adPrimal,500,0.004987781
adPrimal,500,0.004468754
adPrimal,500,0.004138881
adPrimal,500,0.003962754
adPrimal,500,0.004017378
adPrimal,500,0.004000394
adPrimal,500,0.004058645
adPrimal,500,0.004034573
adPrimal,600,0.00479471
adPrimal,600,0.004787693
adPrimal,600,0.00468549
adPrimal,600,0.006268433
adPrimal,600,0.004631354
adPrimal,600,0.004789517
adPrimal,600,0.004610213
adPrimal,600,0.00531932
adPrimal,600,0.00499826
adPrimal,600,0.005056383
adPrimal,600,0.004854768
adPrimal,600,0.00473285
adPrimal,600,0.005141505
adPrimal,600,0.004675825
adPrimal,600,0.006954856
adPrimal,600,0.006207734
adPrimal,600,0.005171035
adPrimal,600,0.005213675
adPrimal,600,0.006472559
adPrimal,600,0.004611337
adPrimal,700,0.00562389
adPrimal,700,0.005458457
adPrimal,700,0.005513202
adPrimal,700,0.005441575
adPrimal,700,0.005749154
adPrimal,700,0.005700512
adPrimal,700,0.006046708
